item_id,canonical_name,price
1,ابريق الحساء اينوكس,1120
2,ابريق الشاي 2ل,2000
3,ابريق الشاي 2ل نوع رفيع,2200
4,ابريق الشاي 3ل ,1100
5,ابريق الشاي المنيوم 1 ل,850
6,ابريق قهوة 12 فنجان,2800
7,ابريق حساء خزفي,650
8,ابريق شاي 1 ل اصفر,1300
9,"ابريق شاي 1,5 ل اصفر",1500
10,ابريق شاي 2 لتر اصفر,1700
11,ابريق شاي ليكس,3890
12,"ابريق شاي من النوع الرفيع 0,5 لتر",750
13,"ابريق شاي من النوع الرفيع 0,75 ل",900
14,ابريق شاي من النوع الرفيع 1 ل,1800
15,ابريق قهوة 6 فناجن,1700
16,ابريق قهوة 9 فناجين,2500
17,ابريق ماء اينوكس 1ل,1200
18,ابريق ماء اينوكس 2ل,1400
19,انبوب غاز,95
20,انبوب غاز مطابق للمعايير نفطال,115
21,بلا سالف عادي مربع,900
22,بلا سالف مدور,650
23,تحتية حسائية خشبية صغيرة الحجم ,250
24,تحتية حسائية خشبية متوسطة الحجم ,280
25,حامل اكل بلاستيكية ذات استعمال واحد,34
26,حامل ملاعق ,250
27,حامل مناديل الطاولة زجاجي,280
28,حامل مناديل للطاولة بلاستيك ,100
29,حاملة الاكل 3 طوابق اينوكس gm,1790
30,حاملة الاكل 3 طوابق اينوكس,1490
31,حاملة الاكل 4 طوابق اينوكس,1650
32,حاملة الاكل 4 طوابق اينوكس gm,4500
33,حاملة الاكل من البلاستيك ,450
34,حاملة حسائية صغيرة,350
35,حاملة حسائية كبيرة,800
36,حاملة فواكه 3 قطع,450
37,حاملة فواكه 4 قطع,550
38,حاملة فواكه 6 قطع ,950
39,حسائية 200 اينوكس بغطاء,2290
40,حسائية 250 اينوكس بغطاء,2550
41,حسائية سيراميك ح ك,1750
42,حسائية سيراميك ح م,1650
43,حسائية ملامينيية متوسطة الحجم ,1300
44,خزفية ,150
45,خزفية 6 قطع,800
46,خلاط اينوكس,2300
47,خلاط عصير ليكس,8000
48,خلاط عصير,2850
49,خلاط منزلي 15 عملبة,7800
50,خلاط منزلي 21 عملية ,8500
51,دورق ماء ,570
52,روبو بديل 21 ,14200
53,رولو  المنيوم 200 متر ,2150
54,رولو شفاف 200 متر ,890
55,سارفيات 40_40 سم ,150
56,ساطور الجزار ,1400
57,سكرية زجاجية ,200
58,سكين التقشير ,70
59,سكين الجزار ح ص,450
60,سكين الجزار ح ك,1050
61,سكين الجزار ح م,650
62,سكين الخبز,200
63,سكين الطاولة,75
64,سكين الطاولة اينوكس فاخرة,150
